address,latitude,longitude,sidebarheader,sidebarheader2,sidebarimage,description,description2,icon_url,iconwidth,iconheight,icon2_url,icon2width,icon2height,icon3_url,icon3width,icon3height,category,category2,category3,category4,dateRanges,recurring_schedule,cost,tags,favorite,GeoJSON,
"1 East 161st St., Bronx, New York, 10451",40.8293747092151,-73.9278474514815,Yankees vs. Twins,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-06-04 19:05:00:2024-06-04 22:05:00,,$10.00,,,,
"1 East 161st St., Bronx, New York, 10451",40.8293747092151,-73.9278474514815,Yankees vs. Twins,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-06-05 19:05:00:2024-06-05 22:05:00,,$24.00,,,,
"1 East 161st St., Bronx, New York, 10451",40.8293747092151,-73.9278474514815,Yankees vs. Twins,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-06-06 19:05:00:2024-06-06 22:05:00,,$24.00,,,,
"One Metlife Stadium Dr., East Rutherford, East Rutherford, New Jersey, 07073, US",40.816738278352,-74.0728375828042,Giants vs. Vikings,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/footballshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,football,pro,2024-09-08 13:00:00:2024-09-08 16:15:00,,$102.00,,,,
"41 Seaver Wy, Queens, NY 11368, United States",40.7573395857728,-73.8458212893161,Giants vs. Mets,,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/baseballbatshadow.svg,25,50,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,baseball,pro,2024-05-25 13:40:00:2024-05-25 16:40:00,,$15.00,,,,
"245 W 52nd St, New York, NY 10019, United States",40.7634957649832,-73.9841825493378,Cabaret at the Kit Kat Club,,https://github.com/mapabuena/BA/blob/main/rockefeller-center.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/Theatreshadow.svg,34,34,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,theater,cabaret,,2024-05-22 20:00:00:2024-05-22 23:59:00,,$179.00,,,,
"4 Pennsylvania Plaza, New York, NY 10001, United States",40.7506182320551,-73.9933421364482,Aventura at MSG,Live latin music,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/modernguitar.svg,35,38,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,live music,latin,,2024-05-22 20:00:00:2024-05-22 23:59:00,,$157.00,,,,
"620 Atlantic Ave, Brooklyn, NY 11217, United States",40.6827684861467,-73.9753834056307,Ed Sheeran with Laundry Day,Live pop music,https://github.com/mapabuena/BA/blob/main/grandcentralstation.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/modernguitar.svg,36,38,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,live music,pop,,2024-05-22 19:00:00:2024-05-22 23:00:00,,$113.00,,,,
"620 Atlantic Ave, Brooklyn, NY 11217, United States",40.6827684861467,-73.9753834056307,NBA Draft,,https://github.com/mapabuena/BA/blob/main/NBAdraft.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/basketballshadow.svg,25,25,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,sport,basketball,pro,2024-06-26 19:00:00:2024-06-26 22:00:00,,$42.00,,,,
"219 W 48th St, New York, NY 10036, United States",40.7624225987135,-73.979088326609,Hadestown,,https://github.com/mapabuena/BA/blob/main/Hadestown.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/Theatreshadow.svg,35,35,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,theater,musical,,2024-05-21 19:00:00:2024-05-21 21:00:00,,79,,,,
"302 W 45th St, New York, NY 10036, United States ",40.7599111326752,-73.9890937105616,Moulin Rouge! The Musical,,https://github.com/mapabuena/BA/blob/main/MoulinRougeTheMusical.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/Theatreshadow.svg,35,35,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,theater,musical,,2024-05-21 19:00:00:2024-05-21 21:00:00,,79,,,,
"230 W 49th St, New York, NY 10019, United States",40.761360480423,-73.9855408732639,The Book of Mormon,Long running musical comedy written by creators of South Park,https://github.com/mapabuena/BA/blob/main/Thebookofmormon.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/Theatreshadow.svg,35,35,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,theater,musical,,2024-05-21 19:00:00:2024-05-21 21:00:00,,77,,,,
"17 Irving Pl, New York, NY 10003, United States",40.7351077946698,-73.9884372643148,Passion Pit,Live music – indie rock,https://github.com/mapabuena/BA/blob/main/passionpit.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/modernguitar.svg,38,38,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,live music,alternative,,2024-05-29 19:00:00:2024-05-29 21:00:00,,89,,,,
"1260 6th Ave, New York, NY 10020, United States",40.7601303470987,-73.9799557363536,Sleep Token,Live Music – indie rock,https://github.com/mapabuena/BA/blob/main/metropolitanmuseumofart.jpg?raw=true,Neque porro quisquam est qui dolorem ipsum quia dolor sit amet consectetur adipisci velit,,https://raw.githubusercontent.com/mapabuena/BA/main/modernguitar.svg,38,38,https://raw.githubusercontent.com/mapabuena/BA/main/TransparentMapIconRed.svg,20,50,,,,event,live music,alternative,,2024-05-29 19:00:00:2024-05-29 21:00:00,,58,,,,
